created_at	text	user__location	entities__hashtags__text		entities__hashtags__text			
Mon Nov 02 22:58:07 +0000 2015	?????????? go watch @ConnorFranta's  new video https://t.co/RXWC3oU3LB give it a big thumbs up and subscribe  Dm me & @emojifranta  ??????????x70	4/6 + troye						
					ABSOLUTETRUTHPERMANENTLY	2		214
					PJBJovemDoAnoLuanSantana	7		
					Np	1		
Mon Nov 02 22:58:07 +0000 2015	@summer_ricee I'll be there this weekend maybe I'll see you! Woohoo	California & New York			LosAngeles	2		
					MPAA	1		
					devices	1		
					RIPBobby	1		
Mon Nov 02 22:58:09 +0000 2015	"@taylorswift13 https://t.co/NmsdAgMRcZ MY SINNER WOMAN,YOU'RE MY WOMAN THROUGH LIFELONG,THROUGH  ETERNITY #ABSOLUTETRUTHPERMANENTLY  ....."	"Los Angeles, CA"	ABSOLUTETRUTHPERMANENTLY		MusicMonday	2		
					blondie	1		
					bae	1		
					Teddy2Gloves	1		
Mon Nov 02 22:58:10 +0000 2015	@onwevr can I come down and check this out?	"Malibu, ca"			Retail	1		
					job	10		
					COMPTON	1		
					Hiring	9		
Mon Nov 02 22:58:10 +0000 2015	@camerondallas EU TE AMO LUAN REI DO BR  #PJBJovemDoAnoLuanSantana	? All Around The World ? 27/09	PJBJovemDoAnoLuanSantana		CareerArc	6		
					SomewhereOverTheRainbow	1		
					WeatherPhenomenon	1		
					MyGodIsAwesome	1		
Mon Nov 02 22:58:11 +0000 2015	Just posted a video @ Benicio del toro https://t.co/NpXKr2YFEz	"Los Angeles, CA. "			RanchoPalosVerdes	1		
					Accounting	1		
					Jobs	5		
					TakingNote	1		
Mon Nov 02 22:58:11 +0000 2015	One of the greatest feelings in the world is when you're doing what you know you're supposed to be doing!	Where the ??is: Los Angeles! 			TPSReports	1		
					LAIW	1		
					model	1		
					LA	1		
Mon Nov 02 22:58:11 +0000 2015	DO A MEET AND GREET WHILE YOUR IN LA!!!!!!! Please I wanna see yall @bruhitszach @rudanc @thetimmyconnors	null			ToBeContinued	1		
					contemporary	1		
					redondobeach	1		
					realestate	1		
Mon Nov 02 22:58:11 +0000 2015	#Np Slow Motion  -Trey Songz ????	null	Np		KirtanTraining	1		
					ALDUBTheVisistor	1		
					PandaExpress	1		
					HappyMonday	1		
Mon Nov 02 22:58:12 +0000 2015	Enjoyed speaking to beauty and media executives @Neutrogena from over 10 countries about enabling women & girls https://t.co/P4Qsq8ldx5	shiza.shahid89@gmail.com			November	1		
					StyleIsWhat	1		
					thanksgiving	1		
					GRLA	1		
Mon Nov 02 22:58:12 +0000 2015	Fucked up my speech once again ?????? no mames	null			History	1		
					Bigup	1		
					Moneyinthemattress	1		
					Mitm	1		
Mon Nov 02 22:58:12 +0000 2015	"@drugproblem my point is if she had whined about it, it would've never stopped. Now it's November & that meme is basically dead & old news"	"West Hollywood, CA"			lucypierlett	1		
					ShavetheCityLA	1		
					CHBarbers	1		
					StayFresh	1		
Mon Nov 02 22:58:13 +0000 2015	"New biopic shows the life, provocation and writing ways of Word Warrior Richard Durham. Come join us! https://t.co/E9tkYhHLYB #LosAngeles"	Los Angeles	LosAngeles		barbershopconnect	1		
					chbarberlife	1		
					Nursing	3		
					SanPedro	1		
Mon Nov 02 22:58:14 +0000 2015	@MMFlint need #MPAA to keep up with the times!  Teens have #devices with SM nudity everyday/all day!  We adults created.  New ratings SOP.	"Pasadena, CA"	MPAA		setlife	1		
			devices		makingTV	1		
					photo	1		
					LiveJasmin	1		
Mon Nov 02 22:58:14 +0000 2015	My friends seriously suck at answering their phonws	null			SexChat	1		
					SexCams	1		
					LiveSex	1		
					campingtrip	1		
Mon Nov 02 22:58:14 +0000 2015	TY Honey RT @Trazlersgal  @BillZucker So sorry to hear about your brother Bobby.My thoughts & prayers Love and Hugs Bill. xo #RIPBobby ????RT	Hollywood/Miami/space	RIPBobby		NewportBeach	5		
					Happiness	1		
					BornRich	1		
					sandiegosportsbar	1		
Mon Nov 02 22:58:15 +0000 2015	"I've been alone all day with two slices of chocolate chiffon pie and many, many Hershey's minis AND EATEN NONE OF IT. Because Maui."	West Hollywood			gentschat	2		
					Family	1		
					homeless	1		
					neurosurgery	1		
Mon Nov 02 22:58:15 +0000 2015	?????????? go watch @ConnorFranta's  new video https://t.co/RXWC3oU3LB give it a big thumbs up and subscribe  Dm me & @emojifranta  ??????????x61	4/6 + troye			Sales	1		
					BlazeDebate	1		
					RNC	1		
					LNYHBT	1		
Mon Nov 02 22:58:15 +0000 2015	"@rosemcgowan @FreddyRdriguez @Rodriguez i'm ""reaching up"" so pls pick me up, i'm just about to lose my apartment, my mind, & my soul's fire"	"Los Angeles, CA"			dtla	2		
					gopromusic	1		
					FortuneCookie	1		
					BirthdayMonth	1		
Mon Nov 02 22:58:18 +0000 2015	"Yes, Mr. Tarantino, Americans are WILLING to accept your apology by way of the age-old Japanese methods:  Apology by Suicide."	Death Wish for Evil			Scorpio	1		
					OnceUponATime	1		
					OpenSource	1		
					CulverCity	1		
Mon Nov 02 22:58:19 +0000 2015	GOD	"ÜT: 42.62077,-73.836408"			Veterans	1		
					LASD	1		
					YA04	1		
					DROPHASHBOMB	1		
Mon Nov 02 22:58:20 +0000 2015	"@camerondallas Hey, i love u  LUAN REI DO BR  #PJBJovemDoAnoLuanSantana"	? All Around The World ? 27/09	PJBJovemDoAnoLuanSantana		LongBeach	1		
					Healthcare	1		
					Outchea	1		
					DeenOverDunyah	1		
Mon Nov 02 22:58:20 +0000 2015	?????????? go watch @ConnorFranta's  new video https://t.co/RXWC3oU3LB give it a big thumbs up and subscribe  Dm me & @emojifranta  ??????????x71	4/6 + troye			Life	1		
					actorslife	1		
					sagaftra	1		
					comedy	1		
Mon Nov 02 22:58:20 +0000 2015	@Rezxxx_ warped tour lmao	"California, USA "			MondayMotivation	1		
					beforeandafter	1		
					tummytuck	1		
					mymind	1		
Mon Nov 02 22:58:22 +0000 2015	The fact I have an essay due at 6 and no idea what to write about yet :)	la			5hy	1		
					toyota	1		
					carwash	1		
					mondaze	1		
Mon Nov 02 22:58:22 +0000 2015	This is why I hate dumb ass people https://t.co/oA6EhVflES	DALLAS - LOS ANGELES			bored	1		
					insightlink	1		
					hr	1		
					EmployeeEngagement	1		
					Halloween	1		
					stanlee	1		
Mon Nov 02 22:58:23 +0000 2015	@Adolfhibsta  https://t.co/zXZqlGVgAz	Hooper #15			comikaze	1		
					funtimes	1		
					AHRvisions	1		
					vihuela	1		
Mon Nov 02 22:58:24 +0000 2015	#MusicMonday @WOGS1039FM @mygospel921 @Gospotainment @HGSRadio @BonnerfideRadio @NiaRadioNetwork @RejoiceAmerica @JdhN8tionRadio @GeneKeys	"Camden, New Jersey 08103"	MusicMonday		tomasdelgado	1		
					candelas	1		
					guitars	1		
					mariachi	1		
					boyleheights	1		
					mexico	1		
					colors	1		
					colores	1		
					handmade	1		
Mon Nov 02 22:58:24 +0000 2015	My favorite thing to wear ?????? blondieofficial  christein #blondie ?? @… https://t.co/oTU2LK0Oq9	calabasas CA 	blondie		maaaanigggga	1		
					westshorecafe	1		
					winterstorm	1		
					welcomewinter	1		
Mon Nov 02 22:58:25 +0000 2015	My goal is to one day get @nicoleisabellac in a pair of cowboy boots at borderline with me	probably in a chanel store			bringiton	1		
					milifanning	1		
					EQXChallenge	1		
					ProtectTheCrown	1		
Mon Nov 02 22:58:25 +0000 2015	"#bae @bridgetterivera @ Torrance, California https://t.co/GAQUKIkOFR"	"Torrance, CA"	bae		StayWinning	1		
					EquinoxWestLA	1		
